id,tempat,sinonim 1,sinonim 2, sinonim 3,sinonim 4,sinonim 5
111,Jalan Wonorejo Rungkut - Rungkut,,,,,
112,Jalan Wonorejo Selatan - Rungkut,,,,,
113,Jalan Pandugo - Rungkut,,,,,
114,Jalan Medokan Ayu - Rungkut,,,,,
115,Jalan Medokan Sawah - Rungkut,,,,,
116,Jalan Wonoayu - Rungkut,,,,,
117,Jalan Penjaringan Timur - Rungkut,,,,,
118,Jalan Rungkut Madya - Rungkut,,,,,
119,Jalan Zamhuri - Rungkut,,,,,
120,Jalan Rungkut Madya - Gunung Anyar,,,,,
121,Jalan Zamhuri - Gunung Anyar,,,,,
122,Jalan Rungkut Tengah - Gunung Anyar,,,,,
123,Jalan Rungkut Menanggal - Gunung Anyar,,,,,
124,Jalan Gunung Anyar Lor - Gunung Anyar,,,,,
125,Jalan Gunung Anyar Tengah - Gunung Anyar,,,,,
126,Jalan Gunung Anyar Kidul - Gunung Anyar,,,,,
127,Jalan Gunung Anyar Timur - Gunung Anyar,,,,,
128,Jalan Amir Mahmud - Gunung Anyar,,,,,
129,Jalan Abdul Karim - Gunung Anyar,,,,,
130,Jalan Medokan Semampir - Sukolilo,,,,,
131,Jalan Medokan Keputih - Sukolilo,,,,,
132,Jalan Semolowaru - Sukolilo,,,,,
133,Jalan Sukosemolo - Sukolilo,,,,,
134,Jalan Arief Rachman Hakim - Sukolilo,,,,,
135,Jalan Keputih - Sukolilo,,,,,
136,Jalan Keputih Tegal - Sukolilo,,,,,
137,Jalan Deles - Sukolilo,,,,,
138,Jalan Menur Pumpungan - Sukolilo,,,,,
139,Jalan Klampis Jaya - Sukolilo,,,,,
140,Jalan Gebang Putih - Sukolilo,,,,,
141,Jalan Gebang Lor - Sukolilo,,,,,
142,Jalan KH Ahmad Dahlan - Sukolilo,,,,,
143,Jalan Kejawan Gebang - Sukolilo,,,,,
144,Jalan Kejawan Putih Tambak - Sukolilo,,,,,
145,Jalan Manyar Kertoadi - Sukolilo,,,,,
146,Jalan Nginden - Sukolilo,,,,,
147,Jalan Manyar - Sukolilo,,,,,
148,Jalan Mleto - Sukolilo,,,,,
149,Jalan Nginden Semolo - Sukolilo,,,,,
150,Jalan Manyar Kertoadi - Mulyorejo,,,,,
151,Jalan Mleto - Mulyorejo,,,,,
152,Jalan Kalisari - Mulyorejo,,,,,
153,Jalan Mulyosari - Mulyorejo,,,,,
154,Jalan Kejawan Putih Tambak - Mulyorejo,,,,,
155,Jalan Tempurejo - Mulyorejo,,,,,
156,Jalan Mulyorejo - Mulyorejo,,,,,
157,Jalan Sutorejo - Mulyorejo,,,,,
158,Jalan Kalijudan - Mulyorejo,,,,,
159,Jalan Kenjeran - Mulyorejo,,,,,
160,Jalan Manyar Kertoarjo - Mulyorejo,,,,,
161,Jalan Manyar Sabrangan - Mulyorejo,,,,,
162,Jalan Kertajaya Indah - Mulyorejo,,,,,
163,Jalan Labansari - Mulyorejo,,,,,
164,Jalan Manyar - Gubeng,,,,,
165,Jalan Kertajaya - Gubeng,,,,,
166,Jalan Karang Menjangan - Gubeng,,,,,
167,Jalan Prof. Dr. Moestopo - Gubeng,,,,,
168,Jalan Kaliwaron - Gubeng,,,,,
169,Jalan Menur - Gubeng,,,,,
170,Jalan Airlangga - Gubeng,,,,,
171,Jalan Srikana - Gubeng,,,,,
172,Jalan Dharmawangsa - Gubeng,,,,,
173,Jalan Kertajaya - Gubeng,,,,,
174,Jalan Ngagel Jaya - Gubeng,,,,,
175,Jalan Pucang Anom Timur - Gubeng,,,,,
176,Jalan Ngagel Jaya Selatan - Gubeng,,,,,
177,Jalan Bratang Jaya - Gubeng,,,,,
178,Jalan Bratang Binangun - Gubeng,,,,,
179,Jalan Karimun Jawa - Gubeng,,,,,
180,Jalan Sulawesi - Tegalsari,,,,,
181,Jalan Keputran - Tegalsari,,,,,
182,Jalan Dr. Soetomo - Tegalsari,,,,,
183,Jalan M. Jasin Polisi Istimewa - Tegalsari,,,,,
184,Jalan Darmo Kali - Tegalsari,,,,,
185,Jalan Pandegiling - Tegalsari,,,,,
186,Jalan Dinoyo - Tegalsari,,,,,
187,Jalan Darmo - Tegalsari,,,,,
188,Jalan Tegalsari - Tegalsari,,,,,
189,Jalan Kedungsari - Tegalsari,,,,,
190,Jalan Pregolan - Tegalsari,,,,,
191,Jalan Basuki Rahmat - Tegalsari,,,,,
192,Jalan Embong Malang - Tegalsari,rawon setan,jw marriote,,,
193,Jalan Kedung Doro - Tegalsari,,,,,
194,Jalan Kombes Pol Duryat - Tegalsari,,,,,
195,Jalan Demak - Bubutan,,,,,
196,Jalan Semarang - Bubutan,,,,,
197,Jalan Bubutan - Bubutan,,,,,
198,Jalan Gemblongan - Bubutan,,,,,
199,Jalan Pahlawan - Bubutan,,,,,
200,Jalan Kramat Gantung - Bubutan,,,,,
201,Jalan Pasar Turi - Bubutan,,,,,
202,Jalan Tembaan - Bubutan,,,,,
203,Jalan Pasar Besar Wetan - Bubutan,,,,,
204,Jalan Dupak - Bubutan,,,,,
205,Jalan Jepara - Bubutan,,,,,
206,Jalan Rembang - Bubutan,,,,,
207,Jalan Tunjungan - Genteng,,,,,
208,Jalan Jagalan - Genteng,,,,,
209,Jalan Kalianyar - Genteng,,,,,
210,Jalan Basuki Rahmat - Genteng,TP ,mcd basra,basra,gang setan,
211,Jalan Gubernur Suryo - Genteng,alun alun,TA,trimurti ,,
212,Jalan Yos Sudarso - Genteng,,,,,
213,Jalan Pemuda - Genteng,monkasel,delta,,,
214,Jalan Panglima Sudirman - Genteng,,,,,
215,Jalan Gubeng Pojok - Genteng,gc,,,,
216,Jalan Kayoon - Genteng,kayun,,,,
217,Jalan Walikota Mustajab - Genteng,balkot,balai kota,,,
218,Jalan Wijaya Kusuma - Genteng,,,,,
219,Jalan Jaksa Agung Suprapto - Genteng,,,,,
220,Jalan Simpang Dukuh - Genteng,,,,,
221,Jalan Undaan Wetan - Genteng,,,,,
222,Jalan Undaan Kulon - Genteng,,,,,
223,Jalan Achmad Jais - Genteng,,,,,
224,Jalan Peneleh - Genteng,,,,,
225,Jalan Ngemplak - Genteng,,,,,
226,Jalan Genteng Kali - Genteng,,,,,
227,Jalan Ambengan - Genteng,,,,,
228,Jalan Ngaglik - Genteng,,,,,
229,Jalan Gembong - Genteng,,,,,
230,Jalan Pecindilan - Genteng,,,,,
231,Jalan Sonokembang - Genteng,,,,,
232,Jalan Jagalan Pabean - Cantian,,,,,
233,Jalan Pengampon Pabean - Cantian,,,,,
234,Jalan Gembong Pabean - Cantian,,,,,
235,Jalan Stasiun Kota - Pabean Cantian,,,,,
236,Jalan Kembang Jepun - Pabean Cantian,,,,,
237,Jalan Dukuh - Pabean Cantian,,,,,
238,Jalan Kalimas Baru - Pabean Cantian,,,,,
239,Jalan Jembatan Merah - Krembangan,,,,,
240,Jalan Veteran - Krembangan,,,,,
241,Jalan Kebonrojo - Krembangan,,,,,
242,Jalan Indrapura - Krembangan,,,,,
243,Jalan Rajawali - Krembangan,,,,,
244,Jalan Jepara - Krembangan,,,,,
245,Jalan Tanjung Sadari - Krembangan,,,,,
246,Jalan Dupak - Krembangan,,,,,
247,Jalan Tambak Asri - Krembangan,,,,,
248,Jalan Tambak Asri - Asemrowo,,,,,
249,Jalan Dupak Rukun - Asemrowo,,,,,
250,Jalan Asemrowo - Asemrowo,,,,,
251,Jalan Tambak Mayor - Asemrowo,,,,,
252,Jalan Margomulyo - Asemrowo,,,,,
253,Jalan Margomulyo - Tandes,,,,,
254,Jalan Balongsari - Tandes,,,,,
255,Jalan Tandes - Tandes,,,,,
256,Jalan Bibis - Tandes,,,,,
257,Jalan Manukan Wetan - Tandes,,,,,
258,Jalan Manukan Kulon - Tandes,,,,,
259,Jalan Banjar Sugihan - Tandes,,,,,
260,Jalan Tengger - Tandes,,,,,
261,Jalan Jugrug Rejosari - Tandes,,,,,
262,Jalan Kyai Amir - Tandes,,,,,
263,Jalan Manukan Tama - Tandes,,,,,
264,Jalan Wonorejo - Tandes,,,,,
265,Jalan Jelidro - Tandes,,,,,
266,Jalan Kandangan - Benowo,,,,,
267,Jalan Sememi - Benowo,,,,,
268,Jalan Kendung - Benowo,,,,,
269,Jalan Alas Malang - Benowo,,,,,
270,Jalan Klakahrejo - Benowo,,,,,
